Categoria;Nome;Ingredientes;Preço Grande;Preço Junior
Lanches;Misto Quente;Tomate, presunto e queijo;30;20
Lanches de Hambúrguer;Burguer;Hambúrguer, queijo e tomate;30;20
Lanches de Hambúrguer;Salada;Hambúrguer, queijo, tomate e alface;32;22
Lanches de Hambúrguer;Hamburgão;Hambúrguer, presunto, ovo, queijo e tomate;35;24
Lanches de Hambúrguer;Acebolado;Hambúrguer, queijo, tomate e cebola;33;23
Lanches;Vegetariano;Queijo, ovo, milho, azeitona, alface, tomate e cebola;30;20
Lanches de Hambúrguer;Milho;Hambúrguer, queijo, tomate e milho;33;23
Lanches de Hambúrguer;Azeitonado;Hambúrguer, queijo, tomate e azeitona;34;24
Lanches de Hambúrguer;Bacon;Hambúrguer, queijo, bacon e tomate;37;25
Lanches de Hambúrguer;Calabresa;Hambúrguer, queijo, calabresa e tomate;35;24
Lanches de Hambúrguer;Americano;Hambúrguer, alface, presunto, ovo, queijo e tomate;35;24
Lanches de Hambúrguer;Catupiry;Hambúrguer, queijo, catupiry e tomate;38;26
Lanches de Hambúrguer;Palmito;Hambúrguer, queijo, palmito e tomate;36;24
Lanches de Hambúrguer;Cheddar;Hambúrguer, cheddar, queijo e tomate;35;24
Lanches de Hambúrguer;Tudo;Hambúrguer, queijo, presunto, bacon, ovo, milho, azeitona, alface, tomate e cebola;41;28
Lanches de Hambúrguer;A Moda;Hambúrguer, queijo, catupiry, presunto, bacon, ovo, azeitona, milho, cebola, alface e tomate;44;30
Lanches de Hambúrguer;3 Queijos;Hambúrguer, queijo, catupiry, cheddar e mussarela;38;26
Lanches de Hambúrguer;Brócolis;Hambúrguer, brócolis, queijo, bacon e catupiry;38;26
Lanches de Frango;Frango;Frango, queijo e tomate;32;22
Lanches de Frango;Frango Salada;Frango, queijo, tomate e alface;34;24
Lanches de Frango;Frango Acebolado;Frango, queijo, tomate e cebola;35;25
Lanches de Frango;Frango Azeitonado;Frango, queijo, tomate e azeitona;35;25
Lanches de Frango;Frango Milho;Frango, queijo, tomate e milho;35;25
Lanches de Frango;Frango Bacon;Frango, queijo, bacon e tomate;37;25
Lanches de Frango;Frango Americano;Frango, alface, presunto, ovo, queijo e tomate;37;25
Lanches de Frango;Frango Catupiry;Frango, queijo, catupiry e tomate;39;26
Lanches de Frango;Frango à Moda;Frango, queijo, presunto, bacon, ovo, milho, Catupiry, azeitona, alface e tomate;44;30
Lanches de Frango;Frango Tudo;Frango, queijo, presunto, bacon, ovo, milho, azeitona, alface e tomate;42;30
Lanches de Frango;Frango Especial;Frango, catupiry, milho, palmito, queijo e tomate;40;29
Lanches de Lombo;Lombo;Lombo, queijo e tomate;35;25
Lanches de Lombo;Lombo Salada;Lombo, queijo, tomate e alface;37;25
Lanches de Lombo;Lombo Azeitonado;Lombo, queijo, tomate e azeitona;37;25
Lanches de Lombo;Lombo Hambúrguer;Lombo, presunto, ovo, queijo e tomate;37;25
Lanches de Lombo;Lombo Acebolado;Lombo, queijo, tomate e cebola;37;25
Lanches de Lombo;Lombo Milho;Lombo, queijo, tomate e milho;37;25
Lanches de Lombo;Lombo Bacon;Lombo, queijo, bacon e tomate;38;26
Lanches de Lombo;Lombo Americano;Lombo, alface, presunto, ovo, queijo e tomate;38;26
Lanches de Lombo;Lombo Catupiry;Lombo, queijo, catupiry e tomate;40;27
Lanches de Lombo;Lombo Tudo;Lombo, queijo, presunto, bacon, ovo, azeitona, alface, tomate e milho;42;30
Lanches de Lombo;Lombo à Moda;Lombo, queijo, presunto, bacon, ovo, azeitona, milho, alface, tomate e catupiry;44;31
Lanches de Contra Filé;Contra Filé;Contra filé, queijo, tomate e cebola;40;28
Lanches de Contra Filé;Contra Filé Tudo;Contra filé, queijo, presunto, bacon, ovo, milho, azeitona, alface, tomate e cebola;45;32
Lanches de Contra Filé;Contra Filé Catupiry;Contra filé, queijo, catupiry e tomate;42;30
Bauru;Linguiça;Pão francês, linguiça, queijo, cebola e tomate;35;-
Bauru;Linguiça Apimentada;Pão francês, linguiça apimentada, queijo, cebola e tomate;35;-
Bauru;Lombo;Pão francês, lombo, queijo, cebola e tomate;37;-
Bauru;Frango;Pão francês, frango, queijo, cebola e tomate;35;-
Bauru;Contra Filé;Pão francês, contra filé, queijo, cebola e tomate;40;-
Hot Dog;Dog Simples;-;16;-
Hot Dog;Simples c/ Ovo;-;17;-
Hot Dog;Duplo;-;18;-
Hot Dog;Duplo c/ Ovo;-;20;-
Hot Dog;Dog Milho;-;20;-
Hot Dog;Dog Salada;-;20;-
Hot Dog;Dog Bacon;-;25;-
Hot Dog;Dog Catupiry;-;26;-
Hot Dog;Dog Especial;-;28;-
Hot Dog;Dog Frango Catupiry;-;28;-
Hot Dog;Dog Presunto Mussarela;-;25;-
Hot Dog;Dog Calabresa;-;25;
Porções;Contra-filé;;60;45
Porções;Lombo;;50;40
Porções;Linguiça;;45;40
Porções;Frango;;50;40
Porções;Batata-Frita;;27;22
Bebidas;Coca Cola 2l;;15;
Bebidas;Sabores 2l;;14;
Bebidas;Coca Cola 600ml;;9;
Bebidas;Coca Cola Lata;;6;
Bebidas;Sabores Lata;;6;
Bebidas;Cervejas Lata;;6;
